"RIS Name","Description","Database","Report","FRB Number","Call Names"
"ESCHTMQ","PROV CR LOSS-SEC HTM-QTR","CDI","RI-INC","",""
"ESUBNDA","SUBORDINATED NOTES INT EXP-ANN","CDI","RI-INC","",""
"ESUBNDQ","SUBORDINATED NOTES INT EXP-QTR","CDI","RI-INC","",""
"ETRANDPA","TRANSACTION ACCOUNTS INT EXP-ANN","CDI","RI-INC","",""
"ETRANDPQ","TRANSACTION ACCOUNTS INT EXP-QTR","CDI","RI-INC","",""
"ETTLOTBA","TT&L & OTHER BORROW INT EXP-ANN","CDI","RI-INC","",""
"ETTLOTBQ","TT&L & OTHER BORROW INT EXP-QTR","CDI","RI-INC","",""
"ETTLOTMA","TT&L, OTH BOR & MTG INT EXP-ANN","CDI","RI-INC","",""
"ETTLOTMQ","TT&L, OTH BOR & MTG INT EXP-QTR","CDI","RI-INC","",""
"EXGRQ","GROSS EXTRA INTEMS & OTHER-QTR","CDI","RI-INC","",""
"EXTAXQ","APPLICABLE TAXES ON EXTRA-QTR","CDI","RI-INC","",""
"EXTRAA","NET DISCONTINUED OPERATIONS-ANN","CDI","RI-INC","",""
"EXTRAQ","NET DISCONTINUED OPERATIONS-QTR","CDI","RI-INC","",""
"EXTRAQA","NET DISCONT OPERATION-QTR-ANN","CDI","RI-INC","",""
"FREPO2","FED FUNDS & REPOS SOLD-CAVG2","CDI","RC-BAL","",""
"FREPO5","FED FUNDS & REPOS SOLD-CAVG5","CDI","RC-BAL","",""
"FREPP2","FED FUNDS & REPOS PURCHASE-CAVG2","CDI","RC-BAL","",""
"FREPP5","FED FUNDS & REPOS PURCHASE-CAVG5","CDI","RC-BAL","",""
"FX","FOREIGN EXCHANGE-TOTAL CONTRACTS","CDI","RC-L","",""
"IBEFTXA","INC BEFORE INC TAXS & DISC-ANN","CDI","RI-INC","",""
"IBEFTXQ","INC BEFORE INC TAXS & DISC-QTR","CDI","RI-INC","",""
"IBEFUGLQ","INC BEF G/L EQ SC, TX &DISC-QTR","CDI","RI-INC","",""
"IBEFXTQA","INCOME BEFORE DISC OPR-QTR-ANN","CDI","RI-INC","",""
"IBEFXTRA","INCOME BEFORE DISC OPR-ANN","CDI","RI-INC","",""
"IBEFXTRQ","INCOME BEFORE DISC OPR-QTR","CDI","RI-INC","",""
"ICHBALA","DEPOSITORY INSTITUT INT INC-ANN","CDI","RI-INC","",""
"ICHBALQ","DEPOSITORY INSTITUT INT INC-QTR","CDI","RI-INC","",""
"IEFF","EFFICIENCY RATIO INCOME","CDI","RI-INC","",""
"IEFFQ","EFFICIENCY RATIO INCOME-QTR","CDI","RI-INC","",""
"IFEEANUA","FEE & COMM ANNUITY SALES - ANN","CDI","RI-INC","",""
"IFEEANUQ","FEE & COMM ANNUITY SALES - QTR","CDI","RI-INC","",""
"IFIDUCA","FIDUCIARY ACTIVITIES INCOME-ANN","CDI","RI-INC","",""
"IFIDUCQ","FIDUCIARY ACTIVITIES INCOME-QTR","CDI","RI-INC","",""
"IFREPOA","FED FUNDS & REPO INT INC-ANN","CDI","RI-INC","",""
"IFREPOQ","FED FUNDS & REPO INT INC-QTR","CDI","RI-INC","",""
"IGLCDROQ","G/L CR DER HEDGE - OTHER - QTR","CDI","RI-INC","",""
"IGLCDRTQ","G/L CR DER HEDGE - TRADING - QTR","CDI","RI-INC","",""
"IGLCMEXQ","TRADING ACCT-COMMODITY-QTR","CDI","RI-INC","",""
